,count,mean,std,min,25%,50%,75%,max
snv_R455,204.0,-1.1183603873316526,0.14002503719188053,-1.7566579720183972,-1.180842034310382,-1.0732873128059655,-1.0221571251906143,-0.9648887382756816
snv_R458,204.0,-1.1178100513052136,0.13721736486751981,-1.7438940240876375,-1.1799690016756026,-1.0741073620869162,-1.0239474190891704,-0.9664768099025837
snv_R461,204.0,-1.1180877369919082,0.13451480216213813,-1.730515423780318,-1.180014136413917,-1.0755915559083427,-1.0256814889418495,-0.9680733618068759
snv_R464,204.0,-1.1185987292505861,0.13206755664004668,-1.71613536486613,-1.1791300706636236,-1.0773628443492678,-1.0265562179802021,-0.9689135450152424
snv_R467,204.0,-1.119550365115222,0.13001133798953443,-1.7048308986738507,-1.1803835582299873,-1.079336706320143,-1.0288613283628092,-0.9703920608239206
snv_R470,204.0,-1.1210429096431322,0.12859001108982257,-1.6955992669334004,-1.181565617339392,-1.0814178857753594,-1.03070064035468,-0.9724387722155357
snv_R473,204.0,-1.122265258268903,0.127812008508552,-1.690739814086858,-1.182433934792854,-1.0832512620920292,-1.0322924661652122,-0.9730919823095016
snv_R476,204.0,-1.1240449365806622,0.1276328840771853,-1.6917044630401412,-1.1842393315253048,-1.0847783667622966,-1.034247604804759,-0.9750693736050476
snv_R478,204.0,-1.1251259650443728,0.12733208268515306,-1.6924785329457803,-1.1850108353754247,-1.0856854177816753,-1.0365707302684328,-0.9766982123289807
snv_R481,204.0,-1.126456877332874,0.1266406610990639,-1.6913442767575178,-1.1850495586411398,-1.087562491506615,-1.0380514391976807,-0.9788876225017193
snv_R484,204.0,-1.1263178401678857,0.12464083391647252,-1.6829402490186123,-1.1842406590841816,-1.0885757361117343,-1.0395354839798379,-0.9796090745873941
snv_R487,204.0,-1.1258435704999845,0.12139922898604819,-1.66758871521577,-1.1839101065625703,-1.0894018219550883,-1.0409300602631761,-0.9806692444722365
snv_R490,204.0,-1.1228534260551937,0.11622098390872612,-1.6391515294290464,-1.1803227386498658,-1.0894172524202586,-1.0411547122919655,-0.9811154048436603
snv_R493,204.0,-1.118998327001834,0.10958404797775545,-1.6025222808713417,-1.1757872014704192,-1.0883096125287008,-1.040985206779329,-0.9815263436437075
snv_R496,204.0,-1.1124463014974488,0.1011365334745646,-1.555183981315144,-1.167178933657684,-1.0861619684171542,-1.0389466742943703,-0.9802727635487849
snv_R499,204.0,-1.1045089451300805,0.09118650572753695,-1.498108969319739,-1.1560335743626862,-1.0853679603744852,-1.0367411823224528,-0.97918721216009
